trial_id,cond_info,trial_length,num_players,num_herder_agents,num_targets,num_obstacles,p1_x,p1_z,p1_ang,ha2_x,ha2_z,ha2_ang,t1_x,t1_z,t2_x,t2_z,t3_x,t3_z,t4_x,t4_z,t5_x,t5_z,offset,stop_dist,b,k_goal,c1,c2,k_targ,c3,c4,c5,k_czone,c6,c7,k_obs,c8,c9
1,1,60,1,1,3,0,-22.38586639,-23.0771941,2.889426259,-4.959080699,17.10660326,39.39102167,39.64490668,-26.36005098,-32.30929473,12.47330609,-33.33517475,-0.735321585,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,,,
2,2,60,1,1,4,0,-6.026081718,-19.59297315,-150.4067119,-29.44102865,4.528153291,141.4296004,34.62522046,28.20019307,-6.537348823,17.15762662,18.49569604,-6.776199047,-39.85082333,-22.40545765,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,
3,3,60,1,1,5,0,-47.30129646,5.709852108,-42.36017063,26.07043224,-35.65813065,-24.90174847,-12.81019636,-8.785070089,-24.55889042,-23.85386422,10.43307663,-7.546800852,-16.28001765,15.99537847,-20.53752046,-20.94371876,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15
4,4,60,1,1,3,0,21.04796921,-27.83728744,-131.0981392,25.79534457,-2.765743787,61.91321695,-12.79763604,28.29146516,28.59713135,18.1610265,15.03564477,26.64772944,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,,,
5,5,60,1,1,4,0,5.025212314,34.08603875,-53.57736184,39.73828582,-12.12185519,167.0290532,-22.80475172,7.991895043,18.58051595,-14.38934906,34.88721856,14.643943,30.5450551,22.20138724,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,
6,6,60,1,1,5,0,21.90578134,25.65644465,1.508869286,50.32060934,7.088071245,-120.0213785,-40.93848296,6.450082009,2.63826868,19.91099283,-4.068594817,25.84065445,20.58289269,-27.68395355,-9.779987992,-15.83094981,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15
7,7,60,1,1,3,0,43.55161635,-20.19780278,94.52568895,10.46148014,25.35287507,120.9454211,-30.84546727,25.75414993,20.09664457,-9.194491423,-41.0654018,-26.70791654,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,,,
8,8,60,1,1,4,0,-32.96742952,26.61076188,-162.9097929,5.602574478,11.06168741,-26.59240425,-21.9620028,-1.362615682,-7.61901481,-11.77444945,-14.37921793,-13.04486468,-10.13469788,24.35553248,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,
9,9,60,1,1,5,0,-7.502051924,27.000837,70.214727,27.40019105,0.238293625,-38.52743832,-30.19928967,29.81913663,37.27525613,-21.72220174,-24.35430884,-18.25967977,17.47486773,-20.91380788,12.70026959,25.00357186,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15
10,10,60,1,1,3,0,-47.76647309,9.480669834,-144.9076566,-1.2572414,-39.69986164,121.8370471,-5.91088584,-19.07797718,20.97830907,16.28985187,-9.406274857,-12.67953723,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,,,
11,11,60,1,1,4,0,26.96459696,22.84904034,-155.2623656,48.21879379,0.197423603,-40.96573119,7.346442848,-17.16017245,-30.01665855,-12.0678561,-6.363345733,25.89491303,36.27213841,-28.14983885,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,
12,12,60,1,1,5,0,-42.56263045,37.15688941,-5.831174932,4.437904432,19.64767459,170.766443,-17.9776516,-12.62542845,-11.24041531,-1.109435559,5.238299961,-31.05036086,-27.33972999,8.352858387,-18.9390469,13.88809812,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15
13,13,60,1,1,3,0,4.964816753,21.53348788,-55.72371054,33.54134646,-2.336426351,-74.84870609,17.3207094,-18.73522075,38.72052016,28.16874806,-27.66368846,0.153447755,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,,,
14,14,60,1,1,4,0,6.824506901,31.97111052,85.46938893,-31.90077646,0.632641656,-152.0216945,-15.78732694,-30.09593256,-33.73021472,-22.73898489,33.94303788,3.178340497,25.38032727,15.77546038,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15,,
15,15,60,1,1,5,0,-34.64171163,5.800959708,104.7661895,6.694863626,16.92041268,125.7009471,34.50316654,-15.210058,-20.00488495,30.26819699,11.04952167,-6.341520667,34.07154005,25.98414305,30.44425011,23.20291087,8.5,20,3.5,43.4,0.1,0.4,176.4,1.25,0.05,0.64,176.4,0.64,0.15,176.4,0.64,0.15
